Time_s,Freq_MHz,VID,mV,WGPs,Features,GRBM_ACTIVE,GRBM_IA,GRBM_WD,SMN_Temp0,SMN_Temp20,SMN_Temp28,SMN_Power,SMN_FanRPM,SMN_FanPWM
0,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
1,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0x74,0x00000000,0x00000000,0x00000000
2,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
3,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0x02,0x00000000,0x00000000,0x00000000
4,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
5,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
6,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xFF,0x00000000,0x00000000,0x00000000
7,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
8,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
9,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
10,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
11,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
12,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
13,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
14,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
15,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
16,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
17,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
18,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
19,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
20,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
21,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0x7A,0x00000000,0x00000000,0x00000000
22,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
23,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
24,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
25,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
26,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
27,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
28,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
29,1500,99,931,0,0xDD602C7D,0,0,0,0xFF,0x00,0xC2,0x00000000,0x00000000,0x00000000
